Country_Name,Rank_2015,Score_2015,Rank_2016,Score_2016,Rank_2017,Score_2017,Rank_2018,Score_2018,Rank_2019,Score_2019
Argentina,30.0,6.574,26.0,6.65,24.0,6.59899997711182,29.0,6.388,47.0,6.086
Czech Republic,31.0,6.505,27.0,6.596,23.0,6.60900020599365,21.0,6.711,20.0,6.852
Uruguay,32.0,6.485,29.0,6.545,28.0,6.4539999961853,31.0,6.379,33.0,6.293
Colombia,33.0,6.477,31.0,6.481,36.0,6.35699987411499,37.0,6.26,43.0,6.125
Thailand,34.0,6.455,33.0,6.474,32.0,6.42399978637695,46.0,6.072,52.0,6.008
Saudi Arabia,35.0,6.411,34.0,6.379,37.0,6.3439998626709,33.0,6.371,28.0,6.375
Spain,36.0,6.329,37.0,6.361,34.0,6.40299987792969,36.0,6.31,30.0,6.354
Malta,37.0,6.302,30.0,6.488,27.0,6.52699995040894,22.0,6.627,22.0,6.726
Taiwan,38.0,6.298,34.0,6.379,,,26.0,6.441,25.0,6.446
Kuwait,39.0,6.295,41.0,6.239,39.0,6.10500001907349,45.0,6.083,51.0,6.021
Suriname,40.0,6.269,40.0,6.269,,,,,,
Trinidad and Tobago,41.0,6.168,43.0,6.168,38.0,6.16800022125244,,,,
El Salvador,42.0,6.13,46.0,6.068,45.0,6.00299978256226,40.0,6.167,35.0,6.253
Guatemala,43.0,6.123,39.0,6.324,29.0,6.4539999961853,30.0,6.382,27.0,6.436
Uzbekistan,44.0,6.003,49.0,5.987,47.0,5.97100019454956,44.0,6.096,41.0,6.174
Slovakia,45.0,5.995,45.0,6.078,40.0,6.09800004959106,39.0,6.173,38.0,6.198
Japan,46.0,5.987,53.0,5.921,51.0,5.92000007629395,54.0,5.915,58.0,5.886
South Korea,47.0,5.984,57.0,5.835,55.0,5.83799982070923,57.0,5.875,54.0,5.895
Ecuador,48.0,5.975,51.0,5.976,44.0,6.00799989700317,48.0,5.973,50.0,6.028
Bahrain,49.0,5.96,42.0,6.218,41.0,6.08699989318848,43.0,6.105,37.0,6.199
Italy,50.0,5.948,50.0,5.977,48.0,5.96400022506714,47.0,6.0,36.0,6.223
Bolivia,51.0,5.89,59.0,5.822,58.0,5.82299995422363,62.0,5.752,61.0,5.779
Moldova,52.0,5.889,55.0,5.897,56.0,5.83799982070923,67.0,5.64,71.0,5.529
Paraguay,53.0,5.878,70.0,5.538,70.0,5.49300003051758,64.0,5.681,63.0,5.743
Kazakhstan,54.0,5.855,54.0,5.919,60.0,5.81899976730347,60.0,5.79,60.0,5.809
Slovenia,55.0,5.848,63.0,5.768,62.0,5.75799989700317,51.0,5.948,44.0,6.118
Lithuania,56.0,5.833,60.0,5.813,52.0,5.90199995040894,50.0,5.952,42.0,6.149
Nicaragua,57.0,5.828,48.0,5.992,43.0,6.07100009918213,41.0,6.141,45.0,6.105
Peru,58.0,5.824,64.0,5.743,63.0,5.71500015258789,65.0,5.663,65.0,5.697
Belarus,59.0,5.813,61.0,5.802,67.0,5.56899976730347,73.0,5.483,81.0,5.323
Poland,60.0,5.791,57.0,5.835,46.0,5.97300004959106,42.0,6.123,40.0,6.182
Malaysia,61.0,5.77,47.0,6.005,42.0,6.08400011062622,35.0,6.322,80.0,5.339
Croatia,62.0,5.759,74.0,5.488,77.0,5.29300022125244,82.0,5.321,75.0,5.432
Libya,63.0,5.754,67.0,5.615,68.0,5.52500009536743,70.0,5.566,72.0,5.525
Russia,64.0,5.716,56.0,5.856,49.0,5.96299982070923,59.0,5.81,68.0,5.648
Jamaica,65.0,5.709,73.0,5.51,76.0,5.31099987030029,56.0,5.89,56.0,5.89
North Cyprus,66.0,5.695,62.0,5.771,61.0,5.80999994277954,,,,
Cyprus,67.0,5.689,69.0,5.546,65.0,5.62099981307983,61.0,5.762,49.0,6.046
Algeria,68.0,5.605,38.0,6.355,53.0,5.87200021743774,84.0,5.295,88.0,5.211
Kosovo,69.0,5.589,77.0,5.401,78.0,5.27899980545044,66.0,5.662,46.0,6.1
Turkmenistan,70.0,5.548,65.0,5.658,59.0,5.82200002670288,68.0,5.636,87.0,5.247
Mauritius,71.0,5.477,66.0,5.648,64.0,5.62900018692017,55.0,5.891,57.0,5.888
Hong Kong,72.0,5.474,75.0,5.458,,,76.0,5.43,76.0,5.43
Estonia,73.0,5.429,72.0,5.517,66.0,5.61100006103516,63.0,5.739,55.0,5.893
Indonesia,74.0,5.399,79.0,5.314,81.0,5.26200008392334,96.0,5.093,92.0,5.192
Vietnam,75.0,5.36,96.0,5.061,94.0,5.07399988174438,95.0,5.103,94.0,5.175
Turkey,76.0,5.332,78.0,5.389,69.0,5.5,74.0,5.483,79.0,5.373
Kyrgyzstan,77.0,5.286,85.0,5.185,98.0,5.00400018692017,92.0,5.131,86.0,5.261
Nigeria,78.0,5.268,103.0,4.875,95.0,5.07399988174438,91.0,5.155,85.0,5.265
Bhutan,79.0,5.253,84.0,5.196,97.0,5.01100015640259,97.0,5.082,95.0,5.082
Azerbaijan,80.0,5.212,81.0,5.291,85.0,5.23400020599365,87.0,5.201,90.0,5.208
Pakistan,81.0,5.194,92.0,5.132,80.0,5.26900005340576,75.0,5.472,67.0,5.653
Jordan,82.0,5.192,80.0,5.303,74.0,5.33599996566772,90.0,5.161,101.0,4.906
Montenegro,82.0,5.192,88.0,5.161,83.0,5.23699998855591,81.0,5.347,73.0,5.523
China,84.0,5.14,83.0,5.245,79.0,5.27299976348877,86.0,5.246,93.0,5.191
Zambia,85.0,5.129,106.0,4.795,116.0,4.51399993896484,125.0,4.377,138.0,4.107
Romania,86.0,5.124,71.0,5.528,57.0,5.82499980926514,52.0,5.945,48.0,6.07
Serbia,87.0,5.123,86.0,5.177,73.0,5.39499998092651,78.0,5.398,70.0,5.603
Portugal,88.0,5.102,94.0,5.123,89.0,5.19500017166138,77.0,5.41,66.0,5.693
Latvia,89.0,5.098,68.0,5.56,54.0,5.84999990463257,53.0,5.933,53.0,5.94
Philippines,90.0,5.073,82.0,5.279,72.0,5.42999982833862,71.0,5.524,69.0,5.631
Somaliland region,91.0,5.057,,,,,,,,
Morocco,92.0,5.013,90.0,5.151,84.0,5.2350001335144,85.0,5.254,89.0,5.208
Macedonia,93.0,5.007,95.0,5.121,92.0,5.17500019073486,89.0,5.185,,
Mozambique,94.0,4.971,,,113.0,4.55000019073486,123.0,4.417,123.0,4.466
Albania,95.0,4.959,109.0,4.655,109.0,4.64400005340576,112.0,4.586,107.0,4.719
Bosnia and Herzegovina,96.0,4.949,87.0,5.163,90.0,5.18200016021729,93.0,5.129,78.0,5.386
Lesotho,97.0,4.898,,,139.0,3.80800008773804,141.0,3.808,144.0,3.802
Dominican Republic,98.0,4.885,89.0,5.155,86.0,5.23000001907349,83.0,5.302,77.0,5.425
Laos,99.0,4.876,102.0,4.876,,,110.0,4.623,105.0,4.796
Mongolia,100.0,4.874,101.0,4.907,100.0,4.95499992370605,94.0,5.125,83.0,5.285
Swaziland,101.0,4.867,,,,,,,135.0,4.212
Greece,102.0,4.857,99.0,5.033,87.0,5.22700023651123,79.0,5.358,82.0,5.287
Lebanon,103.0,4.839,93.0,5.129,88.0,5.22499990463257,80.0,5.358,91.0,5.197
Hungary,104.0,4.8,91.0,5.145,75.0,5.32399988174438,69.0,5.62,62.0,5.758
Honduras,105.0,4.788,104.0,4.871,91.0,5.18100023269653,72.0,5.504,59.0,5.86
Tajikistan,106.0,4.786,100.0,4.996,96.0,5.04099988937378,88.0,5.199,74.0,5.467
Tunisia,107.0,4.739,98.0,5.045,102.0,4.80499982833862,111.0,4.592,124.0,4.461
Palestinian Territories,108.0,4.715,108.0,4.754,103.0,4.77500009536743,104.0,4.743,110.0,4.696
Bangladesh,109.0,4.694,110.0,4.643,110.0,4.60799980163574,115.0,4.5,125.0,4.456
Iran,110.0,4.686,105.0,4.813,108.0,4.69199991226196,106.0,4.707,117.0,4.548
Ukraine,111.0,4.681,123.0,4.324,132.0,4.09600019454956,138.0,4.103,133.0,4.332
Iraq,112.0,4.677,112.0,4.575,117.0,4.49700021743774,117.0,4.456,126.0,4.437
South Africa,113.0,4.642,116.0,4.459,101.0,4.8289999961853,105.0,4.724,106.0,4.722
Ghana,114.0,4.633,124.0,4.276,131.0,4.11999988555908,108.0,4.657,98.0,4.996
Zimbabwe,115.0,4.61,131.0,4.193,138.0,3.875,144.0,3.692,146.0,3.663
Liberia,116.0,4.571,150.0,3.622,148.0,3.53299999237061,149.0,3.495,141.0,3.975
India,117.0,4.565,118.0,4.404,122.0,4.31500005722046,133.0,4.19,140.0,4.015
Sudan,118.0,4.55,133.0,4.139,130.0,4.13899993896484,137.0,4.139,,
Haiti,119.0,4.518,136.0,4.028,145.0,3.6029999256134,148.0,3.582,147.0,3.597
Congo (Kinshasa),120.0,4.517,125.0,4.272,126.0,4.28000020980835,132.0,4.245,127.0,4.418
Nepal,121.0,4.514,107.0,4.793,99.0,4.96199989318848,101.0,4.88,100.0,4.913
Ethiopia,122.0,4.512,115.0,4.508,119.0,4.46000003814697,127.0,4.35,134.0,4.286
Sierra Leone,123.0,4.507,111.0,4.635,106.0,4.70900011062622,113.0,4.571,129.0,4.374
Mauritania,124.0,4.436,130.0,4.201,123.0,4.29199981689453,126.0,4.356,122.0,4.49
Kenya,125.0,4.419,122.0,4.356,112.0,4.55299997329712,124.0,4.41,121.0,4.509
Djibouti,126.0,4.369,,,,,,,,
Armenia,127.0,4.35,121.0,4.36,121.0,4.37599992752075,129.0,4.321,116.0,4.559
Botswana,128.0,4.332,137.0,3.974,142.0,3.76600003242493,146.0,3.59,148.0,3.488
Myanmar,129.0,4.307,119.0,4.395,114.0,4.54500007629395,130.0,4.308,131.0,4.36
Georgia,130.0,4.297,126.0,4.252,125.0,4.28599977493286,128.0,4.34,119.0,4.519
Malawi,131.0,4.292,132.0,4.156,136.0,3.97000002861023,147.0,3.587,150.0,3.41
Sri Lanka,132.0,4.271,117.0,4.415,120.0,4.44000005722046,116.0,4.471,130.0,4.366
Cameroon,133.0,4.252,114.0,4.513,107.0,4.69500017166138,99.0,4.975,96.0,5.044
Bulgaria,134.0,4.218,129.0,4.217,105.0,4.71400022506714,100.0,4.933,97.0,5.011
Egypt,135.0,4.194,120.0,4.362,104.0,4.7350001335144,122.0,4.419,137.0,4.166
Yemen,136.0,4.077,147.0,3.724,146.0,3.59299993515015,152.0,3.355,151.0,3.38
Angola,137.0,4.033,141.0,3.866,140.0,3.79500007629395,142.0,3.795,,
Mali,138.0,3.995,135.0,4.073,127.0,4.19000005722046,118.0,4.447,128.0,4.39
Congo (Brazzaville),139.0,3.989,127.0,4.236,124.0,4.29099988937378,114.0,4.559,103.0,4.812
Comoros,140.0,3.956,138.0,3.956,,,,,142.0,3.973
Uganda,141.0,3.931,145.0,3.739,133.0,4.08099985122681,135.0,4.161,136.0,4.189
Senegal,142.0,3.904,128.0,4.219,115.0,4.53499984741211,109.0,4.631,111.0,4.681
Gabon,143.0,3.896,134.0,4.121,118.0,4.46500015258789,103.0,4.758,104.0,4.799
Niger,144.0,3.845,142.0,3.856,135.0,4.02799987792969,134.0,4.166,114.0,4.628
Cambodia,145.0,3.819,140.0,3.907,129.0,4.16800022125244,120.0,4.433,109.0,4.7
Tanzania,146.0,3.781,149.0,3.666,153.0,3.34899997711182,153.0,3.303,153.0,3.231
Madagascar,147.0,3.681,148.0,3.695,144.0,3.64400005340576,143.0,3.774,143.0,3.933
Central African Republic,148.0,3.678,,,155.0,2.69300007820129,155.0,3.083,155.0,3.083
Chad,149.0,3.667,144.0,3.763,137.0,3.93600010871887,131.0,4.301,132.0,4.35
Guinea,150.0,3.656,151.0,3.607,149.0,3.50699996948242,140.0,3.964,118.0,4.534
Ivory Coast,151.0,3.655,139.0,3.916,128.0,4.17999982833862,107.0,4.671,99.0,4.944
Burkina Faso,152.0,3.587,145.0,3.739,134.0,4.03200006484985,121.0,4.424,115.0,4.587
Afghanistan,153.0,3.575,154.0,3.36,141.0,3.79399991035461,145.0,3.632,154.0,3.203
Rwanda,154.0,3.465,152.0,3.515,151.0,3.47099995613098,151.0,3.408,152.0,3.334
Benin,155.0,3.34,153.0,3.484,143.0,3.65700006484985,136.0,4.141,102.0,4.883
Syria,156.0,3.006,156.0,3.069,152.0,3.46199989318848,150.0,3.462,149.0,3.462
Burundi,157.0,2.905,157.0,2.905,154.0,2.90499997138977,156.0,2.905,145.0,3.775
Togo,158.0,2.839,155.0,3.303,150.0,3.49499988555908,139.0,3.999,139.0,4.085
Puerto Rico,,,15.0,7.039,,,,,,
Belize,,,52.0,5.956,50.0,5.95599985122681,49.0,5.956,,
Somalia,,,76.0,5.44,93.0,5.15100002288818,98.0,4.982,112.0,4.668
Somaliland Region,,,97.0,5.057,,,,,,
Namibia,,,113.0,4.574,111.0,4.57399988174438,119.0,4.441,113.0,4.639
South Sudan,,,143.0,3.832,147.0,3.59100008010864,154.0,3.254,156.0,2.853
Taiwan Province of China,,,,,33.0,6.42199993133545,,,,
"Hong Kong S.A.R., China",,,,,71.0,5.47200012207031,,,,
Trinidad & Tobago,,,,,,,38.0,6.192,39.0,6.192
Northern Cyprus,,,,,,,58.0,5.835,64.0,5.718
North Macedonia,,,,,,,,,84.0,5.274
Gambia,,,,,,,,,120.0,4.516
